record_id,video_url
record_91c6325d-b17f-4f4c-be6d-3517b2173a9f,https://www.haas.com/
record_3f71d3dd-362a-4286-90d1-8bf6466d1b57,http://johnson-lopez.com/
record_c2864762-7089-48ce-b033-b2f7ed2a97d7,http://jones.com/
record_546ad530-2b37-4ce7-81b8-9a8b3e47b641,http://walker-sanchez.org/
record_417d61c1-3d0b-4ef3-833f-da2120fb043b,http://www.bradley.com/
record_f274db0f-3a28-4781-9a00-dbacf5b902bf,https://www.russell-diaz.biz/
record_c00d3a6d-4c37-4e29-b06a-a8d4dc87dc0a,http://www.white.com/
record_c252eed8-f791-419d-8ca7-2775472b71d7,http://www.williams.com/
record_670708cc-8ca1-4d8d-b792-ef2940a44d5a,http://www.williams.net/
record_ca1d574c-b8c8-4837-a125-6ba041215b27,http://marquez-martin.com/
record_0f08dc7e-20ac-4997-8509-ef8fe382b38b,http://www.fuentes-jarvis.biz/
record_b53a4af3-f0e3-409f-a691-a4edf27000c5,http://flynn.com/
record_d7d47df6-c08a-4336-a010-978c892a13b4,http://michael.org/
record_e13cd219-d380-4904-9aaf-6e6535c61670,http://ramos.biz/
record_ca1666b6-b398-4ced-b369-e32578a09784,https://meyers.biz/
record_345edc54-3799-4504-bee6-8165c1eeba99,http://johnson-hall.com/
record_14e81935-1e58-4050-b2b8-ab873a0107a9,https://white.info/
record_644384f1-86b4-419a-b733-3a27d279abd5,https://www.hudson.com/
record_66f81619-1bf3-4784-bd94-9c3adeeb5785,http://www.stanley.com/
record_75c4220a-93ad-4ec4-8010-a1aef0adfe31,https://stephens.com/
record_f51b3320-a539-4b1d-8480-8a3bdbb37423,http://fox.net/
record_7c57c87c-77f4-4046-ab3f-e2d57d14cf5f,https://www.bullock-ramos.com/
record_183da46f-e070-4a61-bcd7-d46fdf5a79d2,https://www.thompson-valentine.net/
record_e8d6f00e-125c-428e-be18-62c1688a863d,https://www.howell.com/
record_c9f5f046-68d8-41a9-9bb2-263486dc3248,http://robinson.com/
record_44baeb82-4b2c-42fc-90de-95429e6a9c29,https://www.morales.com/
record_6d0135a6-2b25-44c2-ac25-fc98da77b74e,http://www.wright.com/
record_1f536dd3-e326-43be-94c8-be1bc9c6443a,http://www.brewer-lynch.com/
record_e9e7d7ca-cd9b-435d-a5a2-2d5c8cb0213c,https://johnson.info/
record_bad1baab-f907-4222-a8bc-8efc7138cae1,https://www.medina.biz/
record_b8f79c86-b9cf-4fd3-ae2b-0aa5e12feaa8,http://jennings-moss.com/
record_448c659b-084e-4b35-843c-bcc54a6337f8,https://www.powell.com/
record_62fb19d0-e10c-4fe8-a16c-829e7018f4e5,http://hogan.biz/
record_af767ba1-35ea-4096-9fe0-d09eaef63e62,http://www.hardin-cummings.org/
record_11fa8034-56cf-4253-8d40-2acc1c1ded43,http://chambers.net/
record_484b7587-078a-420a-8136-f2ccf427ac02,http://parker.com/
record_39249f0a-1511-4df8-a832-6cb8025b8f51,https://www.brown-martinez.net/
record_c26e7613-59a3-4da5-8aa9-2eb66e89d8cc,http://mann.com/
record_ffbeb660-21d7-4a07-ac44-0fa37ae88018,http://www.lopez-oliver.com/
record_b64f5794-3952-47c3-9622-b758f5215d49,http://mitchell-maxwell.com/
record_06d4b244-bc02-499d-a6af-7969f6cfaedc,https://www.edwards.info/
record_53ac2267-6396-411a-bc9c-029f67a66be6,http://burch.com/
record_589d1530-e87b-43a2-b263-8e48554ae70c,http://www.smith-sharp.org/
record_13f74a7e-4ac4-46b6-994f-47181256675c,https://logan-olson.com/
record_b98dca57-9d80-4b64-9387-a6db861b629a,https://wilson.net/
record_7fd64117-171b-4ee5-81c8-69f6e37ef0a4,https://www.swanson-herring.info/
record_70c4ea2c-8cef-4d24-b514-31371d6b0098,https://www.anthony-rojas.com/
record_87a30f3e-c16f-41f1-adb3-76fe768c78cb,http://blankenship.com/
record_d7f63695-20ef-48b1-9d68-cfd2f1da1660,http://ashley.net/
record_1c8824e3-3901-4cb5-a73a-aea6274b7c11,http://www.nunez-mccann.com/
record_0b1243ad-bbe9-431f-acf2-2a3c533b5e2f,https://sanchez.com/
record_0e49850b-48c4-4984-92f7-3223319e936c,http://wade.org/
record_2ec233c2-577a-40a3-b08f-e52c8663d05b,https://wright-mcbride.net/
record_65bbb6d2-cacd-40b2-847c-67a4fd6231fd,http://www.bradley.com/
record_c0b348ca-4982-4776-969c-4b67f5bae590,http://thomas.info/
